ra            dec          u_mag    g_mag    r_mag    i_mag    z_mag    Err_u   Err_g   Err_r   Err_i   Err_z
180.502959    40.501279    22.19    22.67    22.29    21.62    21.24    0.35    0.22    0.23    0.20    0.41
180.489991    40.495756    24.39    23.99    22.68    21.64    21.62    1.30    0.55    0.26    0.15    0.45
180.512484    40.503784    23.78    20.67    19.14    17.91    17.30    0.87    0.03    0.01    0.01    0.01
180.491587    40.509986    25.61    22.53    22.38    21.98    21.63    0.85    0.15    0.19    0.18    0.42
180.496867    40.488860    22.47    21.73    21.01    20.88    20.00    0.39    0.09    0.06    0.08    0.12
180.504721    40.511757    22.69    22.51    22.16    21.62    21.05    0.42    0.15    0.15    0.13    0.26
180.520295    40.505927    23.44    22.61    21.42    20.47    19.85    0.78    0.17    0.08    0.05    0.10
180.520360    40.504617    24.50    23.15    22.16    21.49    21.71    1.67    0.35    0.21    0.17    0.62
180.500692    40.514334    21.88    22.14    21.51    21.08    20.60    0.32    0.17    0.14    0.14    0.29
180.510844    40.486765    23.64    22.04    21.41    21.00    20.32    0.82    0.09    0.08    0.07    0.13
180.518077    40.491269    23.68    21.96    21.44    21.31    20.95    0.85    0.09    0.08    0.10    0.23
180.508940    40.489016    23.50    23.70    22.45    21.74    22.01    0.72    0.38    0.18    0.13    0.47
180.482508    40.508369    25.24    23.87    25.72    22.03    21.73    1.14    0.50    0.68    0.21    0.49
180.479658    40.501011    23.34    23.59    22.83    22.39    20.65    0.72    0.39    0.28    0.27    0.19
180.516500    40.483898    22.45    20.28    18.99    18.47    18.20    0.37    0.03    0.01    0.01    0.03
180.513851    40.483875    24.29    24.06    22.39    21.66    21.95    1.19    0.55    0.19    0.14    0.52
180.522426    40.506937    19.92    18.56    17.97    17.74    17.62    0.04    0.01    0.01    0.01    0.02
180.468409    40.502692    22.03    21.40    21.02    20.72    20.95    0.38    0.09    0.09    0.11    0.44
180.478257    40.496201    21.56    20.44    19.34    18.73    18.41    0.21    0.03    0.02    0.02    0.04
180.487139    40.477283    23.23    21.61    19.87    19.23    18.80    0.88    0.09    0.03    0.02    0.05
180.487639    40.479385    25.58    22.80    21.90    20.23    19.43    0.90    0.20    0.13    0.04    0.07
180.472848    40.499733    21.67    20.32    19.56    19.16    18.94    0.22    0.03    0.02    0.02    0.06
180.486312    40.520847    23.41    22.30    22.17    21.25    21.69    0.96    0.16    0.20    0.13    0.58
180.511738    40.517819    23.06    21.70    21.34    21.07    21.30    0.73    0.09    0.10    0.11    0.43
180.516215    40.488379    23.67    21.68    21.18    20.94    20.65    0.98    0.08    0.07    0.08    0.21
180.524200    40.498306    22.09    21.57    21.76    22.03    20.49    0.66    0.17    0.29    0.57    0.47
180.521171    40.486450    23.54    22.67    21.26    21.00    21.34    0.98    0.21    0.09    0.10    0.41
180.527648    40.493530    25.92    23.43    22.16    21.97    20.84    0.69    0.33    0.15    0.18    0.22
180.528134    40.510017    24.03    23.62    22.70    21.66    21.85    1.36    0.49    0.31    0.18    0.63
180.491203    40.483959    24.45    25.43    25.81    24.59    20.95    1.10    0.70    0.53    0.68    0.22
180.538298    40.481920    19.54    17.06    15.97    15.56    15.36    0.03    0.00    0.00    0.00    0.01
180.458795    40.514567    22.72    20.59    19.72    19.35    19.26    0.39    0.03    0.02    0.02    0.05
180.468677    40.477288    22.22    19.71    18.35    17.34    16.81    0.26    0.02    0.01    0.01    0.01
180.471964    40.513249    19.92    19.05    18.77    18.64    18.63    0.04    0.01    0.01    0.01    0.03
180.463871    40.519374    22.94    20.99    20.07    19.74    19.52    0.47    0.04    0.02    0.03    0.06
180.466440    40.503569    23.94    21.85    20.36    18.96    18.27    0.92    0.08    0.03    0.01    0.02
180.510594    40.526224    23.50    20.57    19.31    18.64    18.32    0.75    0.03    0.01    0.01    0.03
180.530892    40.486649    21.39    21.07    20.54    20.34    20.19    0.17    0.05    0.05    0.06    0.16
180.532244    40.487500    21.65    20.99    20.69    20.33    19.96    0.23    0.06    0.06    0.06    0.15
180.531804    40.484811    22.13    21.47    20.77    20.52    20.73    0.41    0.10    0.07    0.09    0.36
180.476960    40.476240    23.40    22.60    21.24    19.98    19.39    0.71    0.16    0.07    0.03    0.06
180.496439    40.528730    23.12    22.42    22.41    22.11    21.77    0.59    0.13    0.19    0.20    0.44
180.498995    40.530945    23.44    22.06    20.65    20.03    19.99    0.76    0.10    0.04    0.03    0.10
180.531202    40.515600    21.90    22.03    21.73    21.87    20.68    0.38    0.18    0.19    0.32    0.37
180.532982    40.490828    23.70    22.45    21.80    22.01    21.72    0.92    0.15    0.12    0.20    0.46
180.537486    40.498979    23.02    21.44    20.28    19.77    19.32    0.67    0.07    0.04    0.03    0.07
180.542699    40.491416    26.63    22.84    22.32    21.85    22.14    0.39    0.21    0.19    0.17    0.60
180.459319    40.509544    24.06    22.88    21.97    22.18    21.41    1.58    0.30    0.19    0.34    0.54
180.464169    40.489434    23.94    24.72    22.18    20.77    20.10    0.92    0.69    0.14    0.06    0.10
180.466813    40.509675    22.68    23.63    22.39    22.71    22.61    0.41    0.39    0.19    0.35    0.69
180.479609    40.471085    22.63    22.83    22.27    21.68    20.83    0.46    0.24    0.20    0.17    0.26
180.494383    40.469675    23.63    23.03    21.45    21.10    21.01    0.86    0.24    0.08    0.08    0.25
180.496275    40.534110    23.11    23.45    22.06    22.02    21.66    0.67    0.38    0.16    0.23    0.50
180.499324    40.533726    23.96    23.01    21.71    21.05    21.74    1.02    0.22    0.10    0.08    0.42
180.520594    40.476597    24.87    23.23    22.69    22.92    21.74    1.13    0.27    0.23    0.38    0.42
180.520026    40.529582    23.75    22.99    22.02    21.59    20.87    1.00    0.24    0.15    0.15    0.25
180.525329    40.472441    24.20    23.28    22.14    21.82    21.12    1.11    0.28    0.15    0.15    0.27
180.459826    40.506820    24.65    23.07    22.86    22.10    23.64    1.29    0.26    0.29    0.22    0.56
180.525640    40.527593    23.36    23.57    22.65    22.02    21.02    0.72    0.37    0.23    0.19    0.25
180.534338    40.482605    23.20    23.55    23.03    21.41    20.88    0.68    0.39    0.35    0.12    0.25
180.464106    40.492498    23.54    25.25    25.48    24.46    20.67    0.73    0.73    0.64    0.70    0.17
180.511907    40.469592    31.41    28.65    18.67    27.96    16.24    1.08    13.99    1.42    15.93    0.84
180.474090    40.544825    24.15    22.32    21.80    21.71    21.33    1.77    0.17    0.18    0.30    0.70
180.476481    40.545772    23.80    22.84    21.86    21.88    20.63    0.83    0.15    0.10    0.18    0.21
180.511700    40.546597    26.89    22.80    21.59    21.50    21.00    1.72    0.97    0.52    0.92    1.97
180.505852    40.538512    17.06    15.66    15.13    14.92    14.86    0.01    0.00    0.00    0.00    0.00
180.537951    40.479681    23.93    23.73    22.60    21.83    21.51    1.29    0.52    0.29    0.24    0.50
180.466707    40.476340    22.32    21.84    20.97    20.63    20.32    0.33    0.09    0.06    0.06    0.16
180.491268    40.537130    22.04    20.66    19.19    18.63    18.31    0.32    0.04    0.02    0.02    0.04
180.533398    40.463481    21.28    19.86    18.49    17.95    17.65    0.22    0.03    0.01    0.01    0.03
180.533962    40.539589    21.14    19.93    18.59    18.01    17.56    0.26    0.04    0.02    0.02    0.03
180.483561    40.537841    23.47    22.50    21.16    20.04    19.57    0.71    0.14    0.06    0.03    0.07
180.560724    40.489424    22.34    26.16    25.57    24.21    23.27    0.29    0.48    0.61    0.69    0.56
180.438186    40.497854    24.63    22.22    21.94    21.58    22.21    1.13    0.11    0.12    0.12    0.53
180.442933    40.501217    23.34    22.56    22.22    22.09    22.17    0.65    0.15    0.15    0.19    0.53
